,State,Year, Debt at end of fiscal year,Capital outlay,Expenditure,General expenditure,General revenue,Insurance trust  revenue,Intergovernmental,License tax,Revenue,Selective sales tax,Tax,Correction,Education,Financial Aid,Health,Insurance benefits and repayments,Interest on debt,Interest on general debt,Intergovernmental,Miscellaneous general revenue,Natural Resources,Other taxes,Police protection,Transportation,Utilities,Welfare
195,GEORGIA,1998,6039633,2003708,21735461,20281187,20164786,5542416,5676362,396748,25707202,998518,11589495,{'Correction Total': 857067},{'Education Total': 9191987},"{'Assistance and Subsidies': 689045, 'Cash and Securities Total': 51019681}",{'Health Total Expenditure': 681884},1454274,385903,385903,"{'Intergovernmental Expenditure': 6310697, 'Intergovernmental to Combined and Unallocable': 1228445}",1339925,"{'Natural Resources Construction': 417590, 'Parks': {'Parks Total Expenditure': 163141}}",143623,150635,{'Highways': {'Highways Total Expenditure': 1282449}},{'Utilities Current Operation': 10891834},{'Welfare Institution Total Expenditure': 4691784}
196,GEORGIA,1999,6268824,2277677,23203145,21578764,21445362,6193175,5870748,423278,27638537,1022583,12461790,{'Correction Total': 940310},{'Education Total': 9904593},"{'Assistance and Subsidies': 616584, 'Cash and Securities Total': 48516756}",{'Health Total Expenditure': 750905},1624381,391351,391351,"{'Intergovernmental Expenditure': 6677041, 'Intergovernmental to Combined and Unallocable': 1209903}",1447327,"{'Natural Resources Construction': 412488, 'Parks': {'Parks Total Expenditure': 130292}}",177182,169079,{'Highways': {'Highways Total Expenditure': 1574442}},{'Utilities Current Operation': 11616111},{'Welfare Institution Total Expenditure': 4833636}
197,GEORGIA,2000,7085890,2371445,24812898,23091711,23395202,6234471,6459138,466985,29629673,1115893,13511275,{'Correction Total': 1007576},{'Education Total': 10458952},"{'Assistance and Subsidies': 765736, 'Cash and Securities Total': 49498969}",{'Health Total Expenditure': 843258},1721187,386561,386561,"{'Intergovernmental Expenditure': 7179698, 'Intergovernmental to Combined and Unallocable': 1259886}",1791300,"{'Natural Resources Construction': 505131, 'Parks': {'Parks Total Expenditure': 134272}}",221211,194726,{'Highways': {'Highways Total Expenditure': 1586703}},{'Utilities Current Operation': 12388271},{'Welfare Institution Total Expenditure': 5469166}
198,GEORGIA,2001,7520051,2528964,27860155,25662423,25411417,-161398,7392034,506485,25250019,1132256,14368505,{'Correction Total': 1006301},{'Education Total': 11522189},"{'Assistance and Subsidies': 848849, 'Cash and Securities Total': 60969590}",{'Health Total Expenditure': 931213},2197216,437654,437654,"{'Intergovernmental Expenditure': 8383261, 'Intergovernmental to Combined and Unallocable': 1456705}",1907004,"{'Natural Resources Construction': 493577, 'Parks': {'Parks Total Expenditure': 141548}}",205697,270669,{'Highways': {'Highways Total Expenditure': 1724297}},{'Utilities Current Operation': 13464211},{'Welfare Institution Total Expenditure': 6346391}
199,GEORGIA,2002,8242834,2974074,31352991,28465937,26114056,-1267555,8610629,494227,24846501,1184042,13772147,{'Correction Total': 1271639},{'Education Total': 12154631},"{'Assistance and Subsidies': 816236, 'Cash and Securities Total': 61649036}",{'Health Total Expenditure': 808960},2886446,433247,433247,"{'Intergovernmental Expenditure': 8644827, 'Intergovernmental to Combined and Unallocable': 1678324}",1835887,"{'Natural Resources Construction': 539051, 'Parks': {'Parks Total Expenditure': 163060}}",204639,272130,{'Highways': {'Highways Total Expenditure': 2004684}},{'Utilities Current Operation': 15598161},{'Welfare Institution Total Expenditure': 7825282}
200,GEORGIA,2003,8890184,2752260,32526824,29291099,26320141,3554232,9028114,452513,29874373,1256542,13411632,{'Correction Total': 1271565},{'Education Total': 12748724},"{'Assistance and Subsidies': 903832, 'Cash and Securities Total': 61859351}",{'Health Total Expenditure': 884198},3235660,429906,429906,"{'Intergovernmental Expenditure': 9016458, 'Intergovernmental to Combined and Unallocable': 1766167}",1909915,"{'Natural Resources Construction': 498380, 'Parks': {'Parks Total Expenditure': 152957}}",176195,263366,{'Highways': {'Highways Total Expenditure': 1842562}},{'Utilities Current Operation': 16188708},{'Welfare Institution Total Expenditure': 8059442}
201,GEORGIA,2004,8664363,2401645,34229517,30863950,27289184,6607190,8247215,617663,33898727,1547448,14570573,{'Correction Total': 1304039},{'Education Total': 13343447},"{'Assistance and Subsidies': 887390, 'Cash and Securities Total': 64062004}",{'Health Total Expenditure': 1027735},3325304,461191,461191,"{'Intergovernmental Expenditure': 9331174, 'Intergovernmental to Combined and Unallocable': 1811172}",2098059,"{'Natural Resources Construction': 518165, 'Parks': {'Parks Total Expenditure': 134397}}",158938,243137,{'Highways': {'Highways Total Expenditure': 1399636}},{'Utilities Current Operation': 17822813},{'Welfare Institution Total Expenditure': 9095255}
202,GEORGIA,2012,13400514,2637552,43983937,36915899,35860367,3407027,13528503,505618,39276944,2088343,16715216,{'Correction Total': 1170025},{'Education Total': 17204168},"{'Assistance and Subsidies': 1011677, 'Cash and Securities Total': 47502933}",{'Health Total Expenditure': 1099810},7027128,688191,688191,"{'Intergovernmental Expenditure': 9458844, 'Intergovernmental to Combined and Unallocable': 1539249}",2009660,"{'Natural Resources Construction': 457256, 'Parks': {'Parks Total Expenditure': 166729}}",84684,310673,{'Highways': {'Highways Total Expenditure': 1850106}},{'Utilities Current Operation': 23160545},{'Welfare Institution Total Expenditure': 10357120}
203,GEORGIA,2013,13292965,2616499,44591375,37813875,38036547,11859755,14084731,767866,49903420,2131211,17947813,{'Correction Total': 1206086},{'Education Total': 17219904},"{'Assistance and Subsidies': 988908, 'Cash and Securities Total': 52669083}",{'Health Total Expenditure': 1090359},6742776,665295,665295,"{'Intergovernmental Expenditure': 9680870, 'Intergovernmental to Combined and Unallocable': 1277068}",2305237,"{'Natural Resources Construction': 441844, 'Parks': {'Parks Total Expenditure': 183948}}",202043,307142,{'Highways': {'Highways Total Expenditure': 2104277}},{'Utilities Current Operation': 23897027},{'Welfare Institution Total Expenditure': 11059427}
204,GEORGIA,2014,13380184,2756364,45531594,38484226,38422802,14804664,14028613,609944,53233884,2184630,18618093,{'Correction Total': 1205179},{'Education Total': 17421902},"{'Assistance and Subsidies': 1014964, 'Cash and Securities Total': 58290816}",{'Health Total Expenditure': 1122906},7016720,660077,660077,"{'Intergovernmental Expenditure': 10096430, 'Intergovernmental to Combined and Unallocable': 1137588}",2159213,"{'Natural Resources Construction': 447557, 'Parks': {'Parks Total Expenditure': 184103}}",788639,310450,{'Highways': {'Highways Total Expenditure': 2269519}},{'Utilities Current Operation': 23987039},{'Welfare Institution Total Expenditure': 11423871}
205,GEORGIA,2015,13247675,2453654,45295915,39023326,39668110,5755736,14163767,633573,45429887,2299273,19732308,{'Correction Total': 1208635},{'Education Total': 17276438},"{'Assistance and Subsidies': 1086289, 'Cash and Securities Total': 58474554}",{'Health Total Expenditure': 1210283},6239360,650001,650001,"{'Intergovernmental Expenditure': 11349831, 'Intergovernmental to Combined and Unallocable': 1443373}",2297037,"{'Natural Resources Construction': 488716, 'Parks': {'Parks Total Expenditure': 202468}}",863810,360669,{'Highways': {'Highways Total Expenditure': 1918428}},{'Utilities Current Operation': 23516780},{'Welfare Institution Total Expenditure': 11969354}
206,GEORGIA,2016,13128771,3136001,47459456,41051840,42044132,3574516,14536096,663946,45623583,2929188,21455889,{'Correction Total': 1230803},{'Education Total': 18229557},"{'Assistance and Subsidies': 1185669, 'Cash and Securities Total': 60506814}",{'Health Total Expenditure': 1402988},6372959,635193,635193,"{'Intergovernmental Expenditure': 11835632, 'Intergovernmental to Combined and Unallocable': 1358513}",2442771,"{'Natural Resources Construction': 450185, 'Parks': {'Parks Total Expenditure': 226253}}",962023,385024,{'Highways': {'Highways Total Expenditure': 2772344}},{'Utilities Current Operation': 24294002},{'Welfare Institution Total Expenditure': 12039309}
207,GEORGIA,2017,13050409,3311812,49613070,43029765,44087133,14803437,15180869,672897,58900519,3079274,22592761,{'Correction Total': 1326803},{'Education Total': 18967544},"{'Assistance and Subsidies': 1256042, 'Cash and Securities Total': 105477809}",{'Health Total Expenditure': 1487040},6511402,592853,592853,"{'Intergovernmental Expenditure': 12326117, 'Intergovernmental to Combined and Unallocable': 1527916}",2557524,"{'Natural Resources Construction': 539823, 'Parks': {'Parks Total Expenditure': 263359}}",1161083,450809,{'Highways': {'Highways Total Expenditure': 2969100}},{'Utilities Current Operation': 25614844},{'Welfare Institution Total Expenditure': 12509762}
208,GEORGIA,2018,13305788,3191048,51463009,44591632,45324067,12821510,15284021,719422,58156055,3194517,23602510,{'Correction Total': 1355774},{'Education Total': 20033924},"{'Assistance and Subsidies': 1349426, 'Cash and Securities Total': 111597576}",{'Health Total Expenditure': 1362561},6833293,594551,594551,"{'Intergovernmental Expenditure': 12890337, 'Intergovernmental to Combined and Unallocable': 1479954}",2575665,"{'Natural Resources Construction': 582562, 'Parks': {'Parks Total Expenditure': 209145}}",1102044,459658,{'Highways': {'Highways Total Expenditure': 2806084}},{'Utilities Current Operation': 26604354},{'Welfare Institution Total Expenditure': 13103954}
209,GEORGIA,2019,13624252,3496253,53358128,46185762,47347782,11369624,15788655,710701,58717406,3259155,24712873,{'Correction Total': 1309641},{'Education Total': 20917587},"{'Assistance and Subsidies': 1428183, 'Cash and Securities Total': 118714980}",{'Health Total Expenditure': 1268351},7141390,577975,577975,"{'Intergovernmental Expenditure': 13399351, 'Intergovernmental to Combined and Unallocable': 1661763}",2857474,"{'Natural Resources Construction': 620097, 'Parks': {'Parks Total Expenditure': 208386}}",1044494,496510,{'Highways': {'Highways Total Expenditure': 2850351}},{'Utilities Current Operation': 27314976},{'Welfare Institution Total Expenditure': 13596249}
210,HAWAII,1992,4686763,1225593,5301336,4902626,4567848,730700,848559,54831,5298548,364770,2709518,{'Correction Total': 104655},{'Education Total': 1344015},"{'Assistance and Subsidies': 149441, 'Cash and Securities Total': 8915265}",{'Health Total Expenditure': 226619},398710,276544,276544,"{'Intergovernmental Expenditure': 127640, 'Intergovernmental to Combined and Unallocable': 1296834}",336392,"{'Natural Resources Construction': 121579, 'Parks': {'Parks Total Expenditure': 101893}}",20444,8503,{'Highways': {'Highways Total Expenditure': 359249}},{'Utilities Current Operation': 3123408},{'Welfare Institution Total Expenditure': 597925}
211,HAWAII,1993,5023176,1122922,5605688,5087791,4837650,705508,1011419,72393,5543158,381251,2748134,{'Correction Total': 112541},{'Education Total': 1446756},"{'Assistance and Subsidies': 175336, 'Cash and Securities Total': 8948024}",{'Health Total Expenditure': 275777},517897,271002,271002,"{'Intergovernmental Expenditure': 132570, 'Intergovernmental to Combined and Unallocable': 1289043}",306022,"{'Natural Resources Construction': 113031, 'Parks': {'Parks Total Expenditure': 80430}}",15532,12540,{'Highways': {'Highways Total Expenditure': 361406}},{'Utilities Current Operation': 3385961},{'Welfare Institution Total Expenditure': 651418}
212,HAWAII,1994,5145799,1107253,5805649,5260983,5056910,640830,1096421,74892,5697740,519550,2993378,{'Correction Total': 109208},{'Education Total': 1495992},"{'Assistance and Subsidies': 205283, 'Cash and Securities Total': 9788872}",{'Health Total Expenditure': 310655},544392,276546,276546,"{'Intergovernmental Expenditure': 142404, 'Intergovernmental to Combined and Unallocable': 1146078}",302694,"{'Natural Resources Construction': 113101, 'Parks': {'Parks Total Expenditure': 232406}}",36042,11127,{'Highways': {'Highways Total Expenditure': 369981}},{'Utilities Current Operation': 3529771},{'Welfare Institution Total Expenditure': 717577}
213,HAWAII,1995,5195820,967244,6014741,5371517,5098822,678701,1138457,83667,5777523,431709,2874496,{'Correction Total': 110238},{'Education Total': 1645470},"{'Assistance and Subsidies': 224694, 'Cash and Securities Total': 8948617}",{'Health Total Expenditure': 304371},642665,298791,298791,"{'Intergovernmental Expenditure': 144145, 'Intergovernmental to Combined and Unallocable': 1098056}",370980,"{'Natural Resources Construction': 94712, 'Parks': {'Parks Total Expenditure': 126543}}",22848,19863,{'Highways': {'Highways Total Expenditure': 282239}},{'Utilities Current Operation': 3737202},{'Welfare Institution Total Expenditure': 893511}
214,HAWAII,1996,5116982,808867,5946676,5229112,5379231,1004116,1227974,85456,6383347,472881,3079404,{'Correction Total': 105997},{'Education Total': 1548266},"{'Assistance and Subsidies': 220070, 'Cash and Securities Total': 9675590}",{'Health Total Expenditure': 305725},717396,332513,332513,"{'Intergovernmental Expenditure': 144333, 'Intergovernmental to Combined and Unallocable': 1109337}",316257,"{'Natural Resources Construction': 75358, 'Parks': {'Parks Total Expenditure': 109075}}",23742,8618,{'Highways': {'Highways Total Expenditure': 269998}},{'Utilities Current Operation': 3723497},{'Welfare Institution Total Expenditure': 914957}
215,HAWAII,1997,5252711,833357,6093375,5420946,5526957,1173588,1302690,89876,6700545,468697,3087946,{'Correction Total': 127535},{'Education Total': 1557019},"{'Assistance and Subsidies': 201247, 'Cash and Securities Total': 10842971}",{'Health Total Expenditure': 276988},672194,328297,328297,"{'Intergovernmental Expenditure': 156055, 'Intergovernmental to Combined and Unallocable': 1117966}",359900,"{'Natural Resources Construction': 71097, 'Parks': {'Parks Total Expenditure': 144309}}",27950,7019,{'Highways': {'Highways Total Expenditure': 321658}},{'Utilities Current Operation': 3902225},{'Welfare Institution Total Expenditure': 983336}
216,HAWAII,1998,5709739,650864,5860425,5261479,5473742,1286998,1175599,92647,6760740,486399,3176246,{'Correction Total': 120854},{'Education Total': 1636140},"{'Assistance and Subsidies': 191599, 'Cash and Securities Total': 11719346}",{'Health Total Expenditure': 269974},598946,345596,345596,"{'Intergovernmental Expenditure': 147059, 'Intergovernmental to Combined and Unallocable': 1072029}",328384,"{'Natural Resources Construction': 87103, 'Parks': {'Parks Total Expenditure': 49939}}",26705,6966,{'Highways': {'Highways Total Expenditure': 248700}},{'Utilities Current Operation': 3926361},{'Welfare Institution Total Expenditure': 919329}
217,HAWAII,1999,5421316,662574,6265729,5650751,5614565,1031815,1265044,93425,6646380,468143,3166663,{'Correction Total': 134302},{'Education Total': 1778197},"{'Assistance and Subsidies': 183606, 'Cash and Securities Total': 13453067}",{'Health Total Expenditure': 354006},614978,486789,486789,"{'Intergovernmental Expenditure': 153220, 'Intergovernmental to Combined and Unallocable': 1076664}",381503,"{'Natural Resources Construction': 72549, 'Parks': {'Parks Total Expenditure': 36176}}",36429,6871,{'Highways': {'Highways Total Expenditure': 282399}},{'Utilities Current Operation': 4164562},{'Welfare Institution Total Expenditure': 948103}
218,HAWAII,2000,5592207,646886,6604609,5975493,5728976,1211661,1128102,110917,6940637,515636,3334743,{'Correction Total': 154622},{'Education Total': 1853805},"{'Assistance and Subsidies': 174259, 'Cash and Securities Total': 12773187}",{'Health Total Expenditure': 398125},629116,482948,482948,"{'Intergovernmental Expenditure': 157902, 'Intergovernmental to Combined and Unallocable': 1187769}",421120,"{'Natural Resources Construction': 79575, 'Parks': {'Parks Total Expenditure': 45851}}",32326,4953,{'Highways': {'Highways Total Expenditure': 226137}},{'Utilities Current Operation': 4513498},{'Welfare Institution Total Expenditure': 1033386}
219,HAWAII,2001,5300649,650589,6792058,6144750,6045188,545958,1213905,116464,6591146,557802,3507770,{'Correction Total': 148607},{'Education Total': 2192291},"{'Assistance and Subsidies': 157350, 'Cash and Securities Total': 13478165}",{'Health Total Expenditure': 391234},647308,318436,318436,"{'Intergovernmental Expenditure': 124448, 'Intergovernmental to Combined and Unallocable': 1178515}",465026,"{'Natural Resources Construction': 91313, 'Parks': {'Parks Total Expenditure': 46238}}",27909,8471,{'Highways': {'Highways Total Expenditure': 232544}},{'Utilities Current Operation': 4893927},{'Welfare Institution Total Expenditure': 1038087}
220,HAWAII,2002,5656333,600966,7445512,6683606,6042317,-173603,1366988,111801,5868714,505615,3420671,{'Correction Total': 157286},{'Education Total': 2257402},"{'Assistance and Subsidies': 141698, 'Cash and Securities Total': 13482289}",{'Health Total Expenditure': 453500},761906,462296,462296,"{'Intergovernmental Expenditure': 130387, 'Intergovernmental to Combined and Unallocable': 1273721}",488595,"{'Natural Resources Construction': 98076, 'Parks': {'Parks Total Expenditure': 49595}}",26692,9228,{'Highways': {'Highways Total Expenditure': 235699}},{'Utilities Current Operation': 5348259},{'Welfare Institution Total Expenditure': 1125980}
221,HAWAII,2003,5652531,654432,7611286,6851905,6377451,430706,1537997,124430,6808157,556897,3569824,{'Correction Total': 135034},{'Education Total': 2331771},"{'Assistance and Subsidies': 118970, 'Cash and Securities Total': 13311649}",{'Health Total Expenditure': 448818},759381,353448,353448,"{'Intergovernmental Expenditure': 125434, 'Intergovernmental to Combined and Unallocable': 1246964}",404431,"{'Natural Resources Construction': 109274, 'Parks': {'Parks Total Expenditure': 54643}}",27342,10349,{'Highways': {'Highways Total Expenditure': 259303}},{'Utilities Current Operation': 5599621},{'Welfare Institution Total Expenditure': 1216609}
222,HAWAII,2004,5746194,466569,7875322,7081208,6850196,1570632,1639868,123257,8420828,569922,3849135,{'Correction Total': 158029},{'Education Total': 2487630},"{'Assistance and Subsidies': 124136, 'Cash and Securities Total': 13218165}",{'Health Total Expenditure': 416241},794114,356337,356337,"{'Intergovernmental Expenditure': 134452, 'Intergovernmental to Combined and Unallocable': 1234071}",478961,"{'Natural Resources Construction': 109514, 'Parks': {'Parks Total Expenditure': 57703}}",28255,13779,{'Highways': {'Highways Total Expenditure': 214046}},{'Utilities Current Operation': 5999714},{'Welfare Institution Total Expenditure': 1346566}
223,HAWAII,2012,8398012,1090907,11682152,10226231,9972219,612081,2217419,258795,10584300,883701,5516146,{'Correction Total': 194296},{'Education Total': 3484739},"{'Assistance and Subsidies': 94335, 'Cash and Securities Total': 12813565}",{'Health Total Expenditure': 449234},1455921,110616,110616,"{'Intergovernmental Expenditure': 232265, 'Intergovernmental to Combined and Unallocable': 1280544}",655544,"{'Natural Resources Construction': 102313, 'Parks': {'Parks Total Expenditure': 48993}}",54697,26925,{'Highways': {'Highways Total Expenditure': 441788}},{'Utilities Current Operation': 8698108},{'Welfare Institution Total Expenditure': 2013973}
224,HAWAII,2013,8318403,942285,11719130,10318086,10903814,2436642,2267743,248574,13340456,987733,6111278,{'Correction Total': 195843},{'Education Total': 3389889},"{'Assistance and Subsidies': 100022, 'Cash and Securities Total': 14429356}",{'Health Total Expenditure': 432237},1401044,111572,111572,"{'Intergovernmental Expenditure': 270244, 'Intergovernmental to Combined and Unallocable': 1288320}",894347,"{'Natural Resources Construction': 115087, 'Parks': {'Parks Total Expenditure': 58816}}",71105,30459,{'Highways': {'Highways Total Expenditure': 418319}},{'Utilities Current Operation': 8893963},{'Welfare Institution Total Expenditure': 2114311}
225,HAWAII,2014,8426573,913351,12330263,10868871,11439532,2715012,2776352,243007,14154544,1022621,6052795,{'Correction Total': 215792},{'Education Total': 3383380},"{'Assistance and Subsidies': 108973, 'Cash and Securities Total': 16298911}",{'Health Total Expenditure': 536507},1461392,144643,144643,"{'Intergovernmental Expenditure': 302693, 'Intergovernmental to Combined and Unallocable': 1636540}",941728,"{'Natural Resources Construction': 120939, 'Parks': {'Parks Total Expenditure': 61925}}",90620,35423,{'Highways': {'Highways Total Expenditure': 459175}},{'Utilities Current Operation': 9399211},{'Welfare Institution Total Expenditure': 2662842}
226,HAWAII,2015,8757730,1043804,11863592,10504000,12002505,1251747,2680989,252431,13254252,1089489,6485563,{'Correction Total': 212812},{'Education Total': 3179124},"{'Assistance and Subsidies': 108837, 'Cash and Securities Total': 18196041}",{'Health Total Expenditure': 484996},1359592,104146,104146,"{'Intergovernmental Expenditure': 314718, 'Intergovernmental to Combined and Unallocable': 1844065}",1117850,"{'Natural Resources Construction': 141168, 'Parks': {'Parks Total Expenditure': 69518}}",90772,36790,{'Highways': {'Highways Total Expenditure': 414749}},{'Utilities Current Operation': 8932495},{'Welfare Institution Total Expenditure': 2558379}
227,HAWAII,2016,9216583,961950,12365540,10980347,12927936,498176,2943334,263130,13426112,1109748,6919035,{'Correction Total': 217115},{'Education Total': 3390132},"{'Assistance and Subsidies': 139811, 'Cash and Securities Total': 19769752}",{'Health Total Expenditure': 495546},1385193,120750,120750,"{'Intergovernmental Expenditure': 293801, 'Intergovernmental to Combined and Unallocable': 1865100}",1266442,"{'Natural Resources Construction': 160426, 'Parks': {'Parks Total Expenditure': 83986}}",115704,37632,{'Highways': {'Highways Total Expenditure': 414815}},{'Utilities Current Operation': 9464035},{'Welfare Institution Total Expenditure': 2745629}
228,HAWAII,2017,9656278,921429,12692153,11219547,13451636,3255682,2787412,269224,16707318,1126631,7029026,{'Correction Total': 228646},{'Education Total': 3409731},"{'Assistance and Subsidies': 118899, 'Cash and Securities Total': 25136521}",{'Health Total Expenditure': 556990},1472606,113927,113927,"{'Intergovernmental Expenditure': 328032, 'Intergovernmental to Combined and Unallocable': 2087584}",1738330,"{'Natural Resources Construction': 161860, 'Parks': {'Parks Total Expenditure': 84206}}",113505,44877,{'Highways': {'Highways Total Expenditure': 316696}},{'Utilities Current Operation': 9737260},{'Welfare Institution Total Expenditure': 2986016}
229,HAWAII,2018,9971130,1358549,13659807,12094693,13823391,2711634,3013717,275600,16535025,1202967,7714451,{'Correction Total': 228160},{'Education Total': 3658576},"{'Assistance and Subsidies': 117347, 'Cash and Securities Total': 26233879}",{'Health Total Expenditure': 557443},1565114,100248,100248,"{'Intergovernmental Expenditure': 355739, 'Intergovernmental to Combined and Unallocable': 2707718}",1357258,"{'Natural Resources Construction': 155129, 'Parks': {'Parks Total Expenditure': 74568}}",129956,44838,{'Highways': {'Highways Total Expenditure': 465467}},{'Utilities Current Operation': 10162810},{'Welfare Institution Total Expenditure': 2908216}
230,HAWAII,2019,10001827,1415282,14246298,12617105,14317947,2367690,2887218,280311,16685637,1253416,8207524,{'Correction Total': 241705},{'Education Total': 3790399},"{'Assistance and Subsidies': 118591, 'Cash and Securities Total': 26870390}",{'Health Total Expenditure': 614728},1629193,106596,106596,"{'Intergovernmental Expenditure': 328597, 'Intergovernmental to Combined and Unallocable': 3017647}",1433032,"{'Natural Resources Construction': 147507, 'Parks': {'Parks Total Expenditure': 62999}}",106336,47796,{'Highways': {'Highways Total Expenditure': 555396}},{'Utilities Current Operation': 10648039},{'Welfare Institution Total Expenditure': 2872253}
231,IDAHO,1992,1292022,258447,2604107,2315712,2452721,341812,643738,115352,2827234,211197,1396013,{'Correction Total': 57671},{'Education Total': 986673},"{'Assistance and Subsidies': 42565, 'Cash and Securities Total': 3905672}",{'Health Total Expenditure': 61743},253266,98592,98592,"{'Intergovernmental Expenditure': 780742, 'Intergovernmental to Combined and Unallocable': 212379}",243204,"{'Natural Resources Construction': 100764, 'Parks': {'Parks Total Expenditure': 15750}}",24210,28782,{'Highways': {'Highways Total Expenditure': 290629}},{'Utilities Current Operation': 1170495},{'Welfare Institution Total Expenditure': 352315}
232,IDAHO,1993,1289747,262722,2775537,2441966,2740246,616605,687606,127132,3402946,208256,1553654,{'Correction Total': 64781},{'Education Total': 1023423},"{'Assistance and Subsidies': 42946, 'Cash and Securities Total': 4473278}",{'Health Total Expenditure': 62893},297233,98652,98652,"{'Intergovernmental Expenditure': 806396, 'Intergovernmental to Combined and Unallocable': 213700}",296100,"{'Natural Resources Construction': 101386, 'Parks': {'Parks Total Expenditure': 16159}}",36740,30320,{'Highways': {'Highways Total Expenditure': 291599}},{'Utilities Current Operation': 1267588},{'Welfare Institution Total Expenditure': 428492}
233,IDAHO,1994,1280743,323080,2989324,2649688,2845137,738506,706960,151600,3628484,231702,1616901,{'Correction Total': 69823},{'Education Total': 1111705},"{'Assistance and Subsidies': 53348, 'Cash and Securities Total': 5039214}",{'Health Total Expenditure': 74583},312068,91005,91005,"{'Intergovernmental Expenditure': 858750, 'Intergovernmental to Combined and Unallocable': 259213}",294343,"{'Natural Resources Construction': 104721, 'Parks': {'Parks Total Expenditure': 17692}}",38170,35189,{'Highways': {'Highways Total Expenditure': 312551}},{'Utilities Current Operation': 1351073},{'Welfare Institution Total Expenditure': 453576}
234,IDAHO,1995,1302540,363574,3360314,2941311,3151005,648602,809915,149260,3845325,238418,1733120,{'Correction Total': 76001},{'Education Total': 1250780},"{'Assistance and Subsidies': 85346, 'Cash and Securities Total': 6193287}",{'Health Total Expenditure': 85352},383822,93300,93300,"{'Intergovernmental Expenditure': 943526, 'Intergovernmental to Combined and Unallocable': 276019}",328060,"{'Natural Resources Construction': 114577, 'Parks': {'Parks Total Expenditure': 22105}}",40496,28782,{'Highways': {'Highways Total Expenditure': 365787}},{'Utilities Current Operation': 1490746},{'Welfare Institution Total Expenditure': 486522}
235,IDAHO,1996,1453555,349504,3501298,3082521,3304739,1032094,850239,155992,4383680,251681,1857006,{'Correction Total': 97560},{'Education Total': 1360952},"{'Assistance and Subsidies': 120013, 'Cash and Securities Total': 7014419}",{'Health Total Expenditure': 68235},381605,92927,92927,"{'Intergovernmental Expenditure': 999289, 'Intergovernmental to Combined and Unallocable': 264373}",317660,"{'Natural Resources Construction': 115013, 'Parks': {'Parks Total Expenditure': 20251}}",41436,30435,{'Highways': {'Highways Total Expenditure': 346443}},{'Utilities Current Operation': 1557960},{'Welfare Institution Total Expenditure': 528432}
236,IDAHO,1997,1598125,296889,3674210,3250563,3401841,839220,849475,147586,4289173,301793,1960505,{'Correction Total': 102510},{'Education Total': 1345736},"{'Assistance and Subsidies': 76800, 'Cash and Securities Total': 7294362}",{'Health Total Expenditure': 92562},385035,102251,102251,"{'Intergovernmental Expenditure': 1067190, 'Intergovernmental to Combined and Unallocable': 286809}",300562,"{'Natural Resources Construction': 115910, 'Parks': {'Parks Total Expenditure': 20473}}",39000,32247,{'Highways': {'Highways Total Expenditure': 396677}},{'Utilities Current Operation': 1746045},{'Welfare Institution Total Expenditure': 599005}
237,IDAHO,1998,1883221,305630,3785613,3376692,3591719,1063202,862978,196047,4705173,299870,2057378,{'Correction Total': 123853},{'Education Total': 1402567},"{'Assistance and Subsidies': 79335, 'Cash and Securities Total': 9829988}",{'Health Total Expenditure': 93361},368762,110813,110813,"{'Intergovernmental Expenditure': 1104201, 'Intergovernmental to Combined and Unallocable': 309962}",343868,"{'Natural Resources Construction': 117740, 'Parks': {'Parks Total Expenditure': 20909}}",12015,36034,{'Highways': {'Highways Total Expenditure': 397106}},{'Utilities Current Operation': 1816872},{'Welfare Institution Total Expenditure': 594902}
238,IDAHO,1999,2031236,357356,4230335,3776871,3847418,969841,960799,204184,4870426,306446,2171127,{'Correction Total': 168236},{'Education Total': 1537180},"{'Assistance and Subsidies': 69760, 'Cash and Securities Total': 10602014}",{'Health Total Expenditure': 98227},411148,118061,118061,"{'Intergovernmental Expenditure': 1213378, 'Intergovernmental to Combined and Unallocable': 306087}",368097,"{'Natural Resources Construction': 125509, 'Parks': {'Parks Total Expenditure': 20237}}",15673,36821,{'Highways': {'Highways Total Expenditure': 422052}},{'Utilities Current Operation': 2060632},{'Welfare Institution Total Expenditure': 691134}
239,IDAHO,2000,2279273,405489,4492552,4038683,4202391,1320726,1073935,216547,5576284,307830,2377251,{'Correction Total': 149835},{'Education Total': 1663980},"{'Assistance and Subsidies': 77458, 'Cash and Securities Total': 11781696}",{'Health Total Expenditure': 98510},411553,124835,124835,"{'Intergovernmental Expenditure': 1277688, 'Intergovernmental to Combined and Unallocable': 323850}",387137,"{'Natural Resources Construction': 135412, 'Parks': {'Parks Total Expenditure': 24606}}",14452,38770,{'Highways': {'Highways Total Expenditure': 470498}},{'Utilities Current Operation': 2195529},{'Welfare Institution Total Expenditure': 761531}
